"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"983","Normal/Others","WS/MP494/2024-2025/137209-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN BHAWAIN FROM PRATHMIK VIDHYALAY TO DABAR ROAD","27-Aug-2024","28-Sep-2024","1477295","Physical Inspection"
"984","Normal/Others","WS/MP494/2024-2025/137210-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN BAGHEL COLONY FROM BHUP SINGH BAGHEL TO PANDIT JI HOUSE","27-Aug-2024","28-Sep-2024","1210287","Physical Inspection"
"985","Normal/Others","WS/MP494/2024-2025/137211-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN TEDI BAGHIYA DURGA NAGAR VIDHYA NAGAR FROM BABU RAM TO PREM SINGH HOUSE","27-Aug-2024","28-Sep-2024","951668","Physical Inspection"
"986","Normal/Others","WS/MP494/2024-2025/137212-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN SEVARA FROM CHANDRABHAN TYAGI TO RAM KUMAR HOUSE","27-Aug-2024","28-Sep-2024","2004148","Physical Inspection"
"987","Normal/Others","WS/MP494/2024-2025/137213-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN GUMMAT UKHRRA NEAR GYAN BHARATI INTER COLLEGE LOHE KE KHAMBE VALA HISSA","27-Aug-2024","28-Sep-2024","1199684","Physical Inspection"
"988","Normal/Others","WS/MP494/2024-2025/137214-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VILLAGE NAGALA HARIRAM FROM BIJENDRA TYAGI TO JITENDRA HOUSE","27-Aug-2024","28-Sep-2024","722986","Physical Inspection"
"989","Normal/Others","WS/MP494/2024-2025/137215-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN TEDI BAGIYA RADHA NAGAR COLONY JD FARM HOUSE TO DEVENDRA BAGHEL HOUSE","27-Aug-2024","28-Sep-2024","2794931","Physical Inspection"
"990","Normal/Others","WS/MP494/2024-2025/137216-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN VILLAGE BADA GUDHA FROM GHANSHYAM TO PRADEEP BAGHEL HOUSE","27-Aug-2024","28-Sep-2024","1668177","Physical Inspection"
"991","Normal/Others","WS/MP494/2024-2025/137217-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","CC WORK IN KAILASHPURI FROM VIPIN SHIVHARE TO ARCHANA GARG HOUSE","27-Aug-2024","28-Sep-2024","1265891","Physical Inspection"
"992","Normal/Others","WS/MP494/2024-2025/137218-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","INSTALLATION OF SUMBARSEBIL IN VILLAGE AGARWARNEAR KHUSHI RAM SO SRI JALIM SINGH HOUSE","27-Aug-2024","28-Sep-2024","263973","Physical Inspection"
"993","Normal/Others","WS/MP494/2024-2025/137219-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","NSTALLATION OF SUMBARSEBIL IN VILLAGE BAS DALEL NEAR INTER COLLEGE","27-Aug-2024","28-Sep-2024","263851","Physical Inspection"
"994","Normal/Others","WS/MP494/2024-2025/137220-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","NSTALLATION OF SUMBARSEBIL IN VILLAGEGADHI PRATHAVI ETMADPUR","27-Aug-2024","28-Sep-2024","263948","Physical Inspection"
"995","Normal/Others","WS/MP494/2024-2025/137221-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","NSTALLATION OF SUMBARSEBIL IN IN SULABH PURAM BODALA ROAD NEAR NATCHAR PARK","27-Aug-2024","28-Sep-2024","264053","Physical Inspection"
"996","Normal/Others","WS/MP494/2024-2025/137222-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","NSTALLATION OF SUMBARSEBIL IN Dr AMBEDKAR NAGAR VAALI MATA TEDI BAGHIYA HATRASH ROAD AGRA","27-Aug-2024","28-Sep-2024","263761","Physical Inspection"
"997","Normal/Others","WS/MP494/2024-2025/137223-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Prof SP Singh Baghel","AGRA(SC)","NSTALLATION OF SUMBARSEBIL IN VILLAGE SATOLI ETMADPUR SHIV MANDIR MOHALLA BAGHELAN","27-Aug-2024","28-Sep-2024","263802","Physical Inspection"
"998","Normal/Others","WS/MP485/2024-2025/137224-Providing drains and gutters for public drainage","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete Chatal with Single brick soling and cross drain structure at Shrirampur Edgah Maidan under Basanti GP","27-Aug-2024","06-Mar-2025","1692435","Work Completed"
"999","Normal/Others","WS/MP485/2024-2025/137225-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Instalation of Electrically operated High-Mast Light at 7 No More under Amjhara GP","27-Aug-2024","19-Nov-2024","200000","Work Completed"
"1000","Normal/Others","WS/MP485/2024-2025/137226-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Instalation of Electrically operated High-Mast Light at Amjhara Nerir More under Amjhara GP","27-Aug-2024","19-Nov-2024","199517","Physical Inspection"
"1001","Normal/Others","WS/MP485/2024-2025/137227-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Instalation of Electrically operated High-Mast Light at Titkumar Hajir More under Amjhara GP","27-Aug-2024","19-Nov-2024","200000","Work Completed"
"1002","Normal/Others","WS/MP485/2024-2025/137228-Providing drains and gutters for public drainage","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete drain with Guard wall of Parbatipur Junior School  Under Jharkhali GP","27-Aug-2024","21-Mar-2025","1100000","Work Completed"
"1003","Normal/Others","WS/MP485/2024-2025/137229-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete Road from Dhananjay Bairagi wood mil to Baneswar Mondal House Under Jyotishpur GP","27-Aug-2024","06-Mar-2025","598400","Physical Inspection"
"1004","Normal/Others","WS/MP485/2024-2025/137230-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete road from Ambika kayal house to Khagendra Nath House Under Nafarganj GP","27-Aug-2024","06-Mar-2025","599818","Work Completed"
"1005","Normal/Others","WS/MP485/2024-2025/137231-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light at Satkeora Banerjee Bazar Under Chunakhali GP","27-Aug-2024","19-Nov-2024","199501","Work Completed"
"1006","Normal/Others","WS/MP485/2024-2025/137232-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light at Kotrakhali Bazar  Under Chunakhali GP","27-Aug-2024","19-Nov-2024","199501","Work Completed"
"1007","Normal/Others","WS/MP485/2024-2025/137234-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Instalation of 11 Nos Solar Stand Street Light from Bagulakhali Wooden Bridge to Chunakhali GP office under Chunakhali GP","27-Aug-2024","19-Nov-2024","379386","Physical Inspection"
"1008","Normal/Others","WS/MP485/2024-2025/137235-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete road from Saidali Sekh house to Hannan Laskar house under Uttar Mokamberia GP","27-Aug-2024","06-Mar-2025","498071","Sanction"
"1009","Normal/Others","WS/MP485/2024-2025/137236-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Concrete chatalon the field  at the near of  Shimultala Jame Masjid Under Kanthalberia","27-Aug-2024","06-Mar-2025","598653","Physical Inspection"
"1010","Normal/Others","WS/MP013/2024-2025/137237-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Indra Hang Subba","SIKKIM","Construction of drainage system at Ambakey jhora under Chamlathang GPU","27-Aug-2024","13-Nov-2024","1500000","Work Completed"
"1011","Normal/Others","WS/MP013/2024-2025/137238-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Indra Hang Subba","SIKKIM","Construction of drainage system from Pakyong road to Lower Senti at Chubba khola under Senti","27-Aug-2024","13-Nov-2024","1500000","Work Completed"
"1012","Normal/Others","WS/MP641/2025-2026/137257-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of road in ward 22 at Chunabhatti from police line to main road","27-Aug-2024","06-Jun-2025","500000","Vendor Identification"
"1013","Normal/Others","WS/MP641/2024-2025/137260-Construction of community centers and community halls","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of community hall in village Dabriya at Janjati Mohalla","27-Aug-2024","28-Nov-2024","2000000","Work partially Completed"
"1014","Normal/Others","WS/MP641/2024-2025/137262-Construction of community centers and community halls","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of hall in village Machalpur Khurd at Ahir Mohalla","27-Aug-2024","20-Dec-2024","500000","Vendor Identification"
"1015","Normal/Others","WS/MP641/2024-2025/137265-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of additional room existing building in village Panya","27-Aug-2024","18-Dec-2024","500000","Physical Inspection"
"1016","Normal/Others","WS/MP641/2024-2025/137266-Construction of community centers and community halls","Madhya Pradesh","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","Gajendra Singh Patel","KHARGONE(ST)","Construction of hall in village Menimata at Near RamMandir","27-Aug-2024","18-Oct-2024","1000000","Vendor Identification"
"1017","Normal/Others","WS/MP18153/2024-2025/137278-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. High School Kot Karor Kalan (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232650","Physical Inspection"
"1018","Normal/Others","WS/MP18153/2024-2025/137279-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Sodhe Wala (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232415","Physical Inspection"
"1019","Normal/Others","WS/MP18153/2024-2025/137280-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. High School Sodhi Nagar (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232062","Physical Inspection"
"1020","Normal/Others","WS/MP18153/2024-2025/137281-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232415","Physical Inspection"
"1021","Normal/Others","WS/MP18153/2024-2025/137282-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. primary School Sodhi Nagar (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232297","Physical Inspection"
"1022","Normal/Others","WS/MP18153/2024-2025/137283-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary  School Bhure Kalan (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232497","Physical Inspection"
"1023","Normal/Others","WS/MP18153/2024-2025/137284-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Jawahar Singh Wala (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","231710","Physical Inspection"
"1024","Normal/Others","WS/MP18153/2024-2025/137285-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Sen. Sec. (Girls) School Mamdot (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232767","Physical Inspection"
"1025","Normal/Others","WS/MP18153/2024-2025/137286-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Middal School Sulhani (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232767","Physical Inspection"
"1026","Normal/Others","WS/MP18153/2024-2025/137287-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Middal School Lohgarh (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","233002","Physical Inspection"
"1027","Normal/Others","WS/MP18153/2024-2025/137288-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Adarsh Sen. Sec. School Bukan Khan wala (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232532","Physical Inspection"
"1028","Normal/Others","WS/MP18153/2024-2025/137289-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Ferozeshah (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232297","Physical Inspection"
"1029","Normal/Others","WS/MP18153/2024-2025/137290-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Jamitpur Dheru(Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232650","Physical Inspection"
"1030","Normal/Others","WS/MP18153/2024-2025/137291-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Middal School Jamitpur Dheru (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","231240","Physical Inspection"
"1031","Normal/Others","WS/MP18153/2024-2025/137292-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. High School Wahge wala (Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","232650","Physical Inspection"
"1032","Normal/Others","WS/MP18153/2024-2025/137293-Installing community drinking water plants","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SHER SINGH GHUBAYA","FIROZPUR","Installation of RO System At Govt. Primary School Basti Ram Lal   (Maste Ke)(Capacity 500 Ltrs)","27-Aug-2024","03-Sep-2024","231827","Physical Inspection"
"1033","Normal/Others","WS/MP582/2024-2025/137295-Construction of footpaths and pedestrian ways","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","Paver block work near Swaminarayan Temple at Vankaner Village, Taluka Bardoli, District Surat","27-Aug-2024","04-Oct-2024","294287","Physical Inspection"
"1034","Normal/Others","WS/MP582/2024-2025/137299-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","Crematorium Compound Wall Work at Tadkeshwar Village , Taluka Mandvi, District Surat","27-Aug-2024","07-Dec-2024","497016","Physical Inspection"
"1035","Normal/Others","WS/MP582/2024-2025/137303-Lighting of public spaces","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","the following facility work regarding placing electricity pole near the field in front of the P.S., fixing till commissioning 11.00 M.T.R.G.I. Tuber Light Poles with 150 Volt 6 Flooded LEDs Lights Attachment and Leader with 1 Year Maintenance Work Nos.1, at Naren village Near Primary school Ground, Taluka Mandvi, District Surat","27-Aug-2024","07-Dec-2024","191910","Physical Inspection"
"1036","Normal/Others","WS/MP582/2024-2025/137308-Street lights","Gujarat","SURAT(DISTRICT COLLECTOR SURAT_IDA)","Prabhubhai Nagarbhai Vasava","BARDOLI(ST)","Street light work in Vasava Faliya at Choryasi Village, Taluka Kamrej, District Surat","27-Aug-2024","21-Oct-2024","191700","Physical Inspection"
