"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"38805","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234778","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","125000"
"38806","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236713","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38807","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236712","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38808","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234741","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38809","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234742","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","375000"
"38810","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234743","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38811","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234749","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","125000"
"38812","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234750","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","125000"
"38813","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234733","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","375000"
"38814","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234722","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38815","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234723","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38816","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234730","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38817","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234731","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","375000"
"38818","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234735","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38819","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234736","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38820","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234788","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","125000"
"38821","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234792","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38822","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/234779","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","125000"
"38823","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235647","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","500000"
"38824","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235648","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","29-Nov-2025","AV ENTERTAINMENT","Payment Success","250000"
"38825","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235681","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38826","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236708","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38827","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236709","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38828","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236710","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38829","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/236711","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38830","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235649","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38831","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235653","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38832","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235654","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38833","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235655","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38834","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235650","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","375000"
"38835","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235651","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38836","Bihar","Providing CCTV camera system for security of public areas","WS/MP18044/2025-2026/235674","SITAMARHI(DISTRICT PLANNING OFFICER SITAMARHI_IDA)","DEVESH CHANDRA THAKUR","SITAMARHI","01-Dec-2025","AV ENTERTAINMENT","Payment Success","250000"
"38837","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188921","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","09-Jul-2025","BANSAL PIPE INDUSTRIES","Payment Success","43188"
"38838","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188921","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","09-Jul-2025","BANSAL PIPE INDUSTRIES","Payment Success","43188"
"38839","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188921","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","09-Jul-2025","BANSAL PIPE INDUSTRIES","Payment Success","43188"
"38840","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188921","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","09-Jul-2025","BANSAL PIPE INDUSTRIES","Payment Success","43188"
"38841","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188921","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","09-Jul-2025","BANSAL PIPE INDUSTRIES","Payment Success","30232"
"38842","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188926","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MUNISH TILE FACTORY","Payment Success","23814"
"38843","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188929","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","03-Jul-2025","MUNISH TILE FACTORY","Payment Success","33056"
"38844","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188924","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MUNISH TILE FACTORY","Payment Success","23518"
"38845","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188925","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MUNISH TILE FACTORY","Payment Success","42134"
"38846","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188923","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MUNISH TILE FACTORY","Payment Success","47663"
"38847","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/188927","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MUNISH TILE FACTORY","Payment Success","16621"
"38848","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18384/2024-2025/177839","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","29-Jul-2025","B GNANAVEL CONTRACTOR","Payment Success","999900"
"38849","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2025-2026/140773","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","20-Jun-2025","AATHINI ULTRATECH","Payment Success","860492"
"38850","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2025-2026/140773","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","15-Sep-2025","AATHINI ULTRATECH","Payment Success","486639"
"38851","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18160/2025-2026/164405","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","08-Jul-2025","Jagdish Construction Company","Payment Success","600000"
"38852","Jammu And Kashmir","Improvement of electricity distribution infrastructure","WS/MP18260/2025-2026/244882","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","29-Jun-2026","Fayaz Ahmad Dar","Payment Success","908190"
"38853","Jammu And Kashmir","Improvement of electricity distribution infrastructure","WS/MP18260/2025-2026/244884","PULWAMA(Deputy Commissioner  Pulwama_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","30-Jun-2026","Fayaz Ahmad Dar","Payment Success","497545"
"38854","Maharashtra","Construction of community centers and community halls","WS/MP687/2025-2026/182086","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Sunil Dattatray Tatkare","RAIGAD","01-Jul-2025","SANJOG EKNATH MANKAR","Payment Success","1250000"
"38855","Maharashtra","Construction of community centers and community halls","WS/MP687/2025-2026/182086","RAIGAD(DISTRICT COLLECTOR RAIGAD_IDA)","Sunil Dattatray Tatkare","RAIGAD","08-Dec-2025","SANJOG EKNATH MANKAR","Payment Success","1246670"
"38856","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/174958","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","03-Jul-2025","SINAJ ANANDPURA GRAM PANCHAYAT","Payment Success","199699"
"38857","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/174960","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","03-Jul-2025","KANPURA SINAJ GRAM PANCHAYAT","Payment Success","199936"
"38858","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/174961","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","03-Jul-2025","VANPARDI GRAM PANCHAYAT","Payment Success","199936"
"38859","Punjab","Construction of community centers and community halls","WS/MP716/2025-2026/188931","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","18-Jun-2025","MAKHA STEEL WORKS","Payment Success","38822"
"38860","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167468","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","24-Jun-2025","CHEJARLA BHASKAR REDDY","Payment Success","499940"
"38861","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18014/2024-2025/167469","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","24-Jun-2025","CHEJARLA BHASKAR REDDY","Payment Success","499940"
"38862","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/219553","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","31-Jul-2025","HARIPRASAD B V","Payment Success","499997"
"38863","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/175713","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","11-Jul-2025","THE ROSA CO OP L AND C SOCIETY LTD","Payment Success","1101839"
"38864","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/162952","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","19-Aug-2025","THE ROSA CO OP L AND C SOCIETY LTD","Payment Success","504402"
"38865","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP642/2025-2026/196571","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jul-2025","Aakash Treders","Payment Success","100000"
"38866","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP642/2025-2026/196571","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","18-Jun-2025","Aakash Treders","Payment Success","400000"
"38867","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18357/2025-2026/199888","SHIVPURI(District Collector Shivpuri_IDA)","JYOTIRADITYA M. SCINDIA","GUNA","24-Jun-2026","gram panchyat jhadel","Payment Success","497937"
"38868","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18357/2025-2026/199888","SHIVPURI(District Collector Shivpuri_IDA)","JYOTIRADITYA M. SCINDIA","GUNA","30-Jun-2025","gram panchyat jhadel","Payment Success","500000"
"38869","Telangana","Construction of community centers and community halls","WS/MP761/2025-2026/192158","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","17-Jun-2025","K Prabhakar","Payment Success","296610"
"38870","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/148173","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Jitendra Singh","UDHAMPUR","19-Jun-2025","SUMEET SINGH","Payment Success","92000"
"38871","Jammu And Kashmir","Providing drains and gutters for public drainage","WS/MP331/2025-2026/242085","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","01-Sep-2026","SUMEET SINGH","Payment Success","299000"
"38872","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2024-2025/157097","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","29-Jan-2026","ALAN UTHUPPAN","Payment Success","902377"
"38873","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18357/2025-2026/199887","SHIVPURI(District Collector Shivpuri_IDA)","JYOTIRADITYA M. SCINDIA","GUNA","23-Jun-2025","GRAM PANCHYAT goratila","Payment Success","500000"
"38874","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18357/2025-2026/199887","SHIVPURI(District Collector Shivpuri_IDA)","JYOTIRADITYA M. SCINDIA","GUNA","28-Jul-2026","GRAM PANCHYAT goratila","Payment Success","500000"
"38875","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2025-2026/200547","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","30-Jan-2026","SK ENTERPRISE","Payment Success","346535"
"38876","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP423/2024-2025/138268","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","04-Jul-2025","SK ENTERPRISE","Payment Success","399673"
"38877","West Bengal","Street lights","WS/MP485/2024-2025/153999","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","19-Jun-2025","A S R ENTERPRISE","Payment Success","172415"
"38878","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172129","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38879","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172127","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38880","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172126","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38881","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172132","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38882","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172131","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38883","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172125","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38884","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172130","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38885","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172128","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","24-Jun-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38886","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172129","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38887","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172130","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38888","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172128","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38889","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172125","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38890","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172132","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38891","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172126","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38892","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172131","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38893","Madhya Pradesh","Street lights","WS/MP654/2024-2025/172127","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38894","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172138","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38895","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172135","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38896","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172134","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38897","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172133","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38898","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172137","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38899","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172136","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","12-Mar-2026","MS SANJAY KUMAR TIWARI","Payment Success","61060"
"38900","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172137","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38901","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172136","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38902","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172135","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38903","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172134","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38904","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172133","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38905","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172138","SHAHDOL(District Collector Shahdol_IDA)","Smt Himadri Singh","SHAHDOL (ST)","18-Jul-2025","MS SANJAY KUMAR TIWARI","Payment Success","305904"
"38906","Tamil Nadu","Street lights","WS/MP18175/2025-2026/221137","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","02-Sep-2026","AYODHYA ENTERPRISES","Payment Success","464851"
"38907","Tamil Nadu","Street lights","WS/MP18175/2025-2026/221205","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","02-Sep-2026","AYODHYA ENTERPRISES","Payment Success","464851"
