"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17989","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254518","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","16-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17990","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/256299","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17991","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/256300","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17992","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254325","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17993","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254525","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17994","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254520","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17995","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254521","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17996","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254532","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17997","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254526","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17998","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254529","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
"17999","Uttar Pradesh","Lighting of public spaces","WS/MP18235/2025-2026/254530","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","17-Apr-2026","MR CONSTRUCTION","Payment Success","174129"
