work_id,anomaly_prediction,is_anomaly,anomaly_score,lof_prediction,lof_is_anomaly,lof_score,both_models_anomaly,any_model_anomaly,if_normalized_score,lof_normalized_score,if_risk_score,lof_risk_score,combined_anomaly_score,ensemble_is_anomaly,ensemble_risk_level,rule_risk_score,rule_risk_level,risk_factors,recommended_actions,risk_factor_count,recommended_amount,sanction_amount,total_expenditure,expenditure_ratio,financial_risk_score,financial_risk_level,financial_risk_factors,ensemble_ai_score,final_ai_risk_score,final_ai_risk_level
WS/MP485/2024-2025/134791,1,0,0.2156617693241683,1,0,-1.5966528355919647,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227469.0,227469.0,227469.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
WS/MP485/2024-2025/134792,1,0,0.2156617693241683,1,0,-1.5966528355919647,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227469.0,227469.0,227469.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
WS/MP485/2024-2025/134793,1,0,0.2156617693241683,1,0,-1.5966528355919647,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227469.0,227469.0,227469.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
WS/MP681/2024-2025/134797,1,0,0.1833060772409286,1,0,-544.3289764385877,0,0,0.8721157972883393,0.9999999999981832,0.1278842027116606,1.8167689574966066e-12,0.0767305216277231,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,997623.0,997623.0,997623.0,1.0,10.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",12.788420271286904,11.39,LOW
WS/MP681/2024-2025/134802,1,0,0.1290059430512077,1,0,-1.003781673002658,0,0,0.7450538534486882,0.9999999999999998,0.2549461465513117,2.220446049250313e-16,0.1529676879307871,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,1493920.0,1493920.0,1493920.0,1.0,10.0,HIGH,"['Project expenditure is unusually high compared to other projects', 'High payment concentration per vendor', 'Large number of payments concentrated among very few vendors', 'Multiple financial risk indicators detected simultaneously']",25.494614655130732,17.75,LOW
WS/MP485/2024-2025/134826,1,0,0.2144345681373222,1,0,-10.429209565279006,0,0,0.9449562537828168,0.9999999999999682,0.0550437462171831,3.1752378504279483e-14,0.0330262477303225,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,312408.0,312408.0,312408.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.504374621720232,7.75,LOW
WS/MP485/2024-2025/134827,1,0,0.2137333264697332,1,0,-9.647438168351764,0,0,0.9433153530610268,0.9999999999999708,0.0566846469389732,2.90878432451791e-14,0.0340107881633955,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,310393.0,310393.0,310393.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.668464693899064,7.83,LOW
WS/MP485/2024-2025/134828,1,0,0.2156617693241683,1,0,-1.5966528355919647,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227469.0,227469.0,227469.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
WS/MP485/2024-2025/134829,1,0,0.2156617693241683,1,0,-1.5946597682956574,0,0,0.9478278961942,0.9999999999999976,0.0521721038058,2.3314683517128287e-15,0.0313032622834809,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,227446.0,227446.0,227446.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",5.217210380579969,7.61,LOW
WS/MP485/2024-2025/134837,1,0,0.217694607487705,1,0,-0.996229891489236,0,0,0.9525847236390076,0.9999999999999998,0.0474152763609924,2.220446049250313e-16,0.0284491658165955,0,LOW,10,LOW,['No major rule-based risk indicators were detected.'],['Continue regular project monitoring.'],1,249621.0,249621.0,249621.0,1.0,10.0,MEDIUM,"['High payment concentration per vendor', 'Large number of payments concentrated among very few vendors']",4.741527636099076,7.37,LOW
