work_id,state,ida,honble_members_of_parliament,constituency,work_category,work_description,recommended_date,recommended_amount,sanction_date,sanction_amount,work_status,completion_date,completed_amount_disbursed,total_expenditure,payment_count,unique_vendors,has_sanction,has_completion,has_expenditure,sanction_delay_days,completion_duration_days,sanction_difference,expenditure_ratio,sanction_ratio,expenditure_difference,completion_amount_ratio,completion_amount_difference,payments_per_vendor,financial_year,recommended_year,recommended_month,anomaly_prediction,is_anomaly,anomaly_score,risk_score,risk_level,risk_reasons
WS/MP18045/2025-2026/158856,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158861,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158862,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158863,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158864,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158871,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP18045/2025-2026/158877,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2024-12-15,958500.0,,,,,,958500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.1966342250230122,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158881,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of lane and drain from the shop of Harbans Raina to Rahul Singh , At Shiva Nagar, Ward no. 19, Kathua.",2024-12-18,114000.0,,,,,,114000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2291690620926871,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158895,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of lane and drain from the link road to house of Dr. Shiv Kumar and other, Pyt. Gara, Hiranagar, Kathua",2024-12-18,116000.0,,,,,,116000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.229414103957866,0,LOW,No significant risk indicators detected
WS/MP600/2025-2026/158897,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of lane and drain from the link road to Chainkhria Mohalla, Ward no. 4, Pyt. Poonda, Village Satura, Mahanpur,	Kathua",2024-12-18,200500.0,,,,,,200500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2025-2026,2024,12,1,0,0.2347941062526545,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158898,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of Circular path from the link road to house of Neelam Singh , Pyt. Chan Lal Din , Ward no. 09, Marheen, Kathua",2024-12-18,135000.0,,,,,,135000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2330584813450512,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158899,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of lane  from Kabir Mandir lane to the house of Madhan Lal , Ward no. 18, Kathua, Kathua",2024-12-18,123000.0,,,,,,123000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2297652659600878,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158901,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of Circular path from the Hamir Pur Amala Link Road to Shouwani Pond , Village Amala, Marheen, Kathua",2024-12-18,118500.0,,,,,,118500.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2298820606746499,0,LOW,No significant risk indicators detected
WS/MP600/2024-2025/158902,Jammu And Kashmir,KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA),Jitendra Singh,UDHAMPUR,Normal/Others,"Construction of lane and drain from the house of Sameer Andotra to house of Parmjeet Singh , Ward no. 03, Vill. Dewal, Billawar, Kathua",2024-12-18,130000.0,,,,,,130000.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2324617335650659,0,LOW,No significant risk indicators detected
WS/MP18389/2024-2025/158917,Telangana,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),KADIYAM KAVYA,WARANGEL(SC),Normal/Others,"Laying of Internal CC Road from H.No. 24-1-388/2 to Block A Mat No A39,40 in Indiramma Colony in Division No.49 in GWMC limits in Hanumakonda District.",2024-12-21,499490.0,,,,,,499490.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2358074640130475,0,LOW,No significant risk indicators detected
WS/MP18389/2024-2025/158918,Telangana,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),KADIYAM KAVYA,WARANGEL(SC),Normal/Others,"Laying of Internal CC Road from Block A flat No A39,40 to Block A Electrical Pole No HB1/ 10 in Indiramma Colony in Division No.49 in GWMC limits in Hanumakonda District.",2024-12-21,499490.0,,,,,,499490.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2358074640130475,0,LOW,No significant risk indicators detected
WS/MP18389/2024-2025/158919,Telangana,HANUMAKONDA(DISTRICT COLLECTOR HANUMAKONDA_IDA),KADIYAM KAVYA,WARANGEL(SC),Normal/Others,Laying of Internal CC Road from Block A Electrical Pole No HB1/10 to H.No:24-1 400/A/93/B in Indiramma Colony in Division No.49 in GWMC limits in Hanumakonda District.,2024-12-21,499490.0,,,,,,499490.0,1.0,1.0,0,0,1,,,,,,,,,1.0,2024-2025,2024,12,1,0,0.2358074640130475,0,LOW,No significant risk indicators detected
